image_path,result
./img/HQ/9/8357/0-4.png,0
./img/HQ/7/47013/0-4.png,1
./img/LQ/1/5025/0-8.png,2
./img/LQ/4/204/0-2.png,2
./img/LQ/4/1115/0-8.png,3
./img/HQ/4/6939/0-6.png,3
./img/LQ/3/1714/0-8.png,3
./img/HQ/9/15813/0-4.png,4
./img/HQ/6/104919/0-5.png,4
./img/LQ/9/486/0-4.png,4
./img/LQ/9/538/0-8.png,4
./img/HQ/6/33079/0-8.png,5
./img/HQ/5/9973/0-9.png,5
./img/LQ/6/1986/0-4.png,5
./img/LQ/2/2006/0-6.png,6
./img/LQ/0/1038/0-8.png,6
./img/HQ/5/3373/0-6.png,7
./img/LQ/5/997/0-8.png,8
./img/HQ/9/10025/0-4.png,9
./img/HQ/5/2261/0-6.png,9
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,0
mimicry_result/cifar-10/eval-t-n100/5/111/3/282-97-7-3-7-[3].png,1
mimicry_result/cifar-10/eval-t-n100/5/452/3-bf/2721-8-101-3-3-[3].png,1
mimicry_result/cifar-10/eval-t-n100/7/1110/5/212-97-21-5-7-[5].png,2
mimicry_result/cifar-10/eval-t-n100/7/972/5/426-96-9-5-6-[5].png,2
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,2
mimicry_result/cifar-10/eval-t-n100/4/404/7/424-95-17-7-7-[7].png,2
mimicry_result/cifar-10/eval-t-n100/4/821/2/248-96-8-2-6-[2].png,3
mimicry_result/cifar-10/eval-t-n100/5/218/3/335-97-57-3-6-[3].png,3
mimicry_result/cifar-10/eval-t-n100/8/765/0/255-97-13-0-6-[0].png,3
mimicry_result/cifar-10/eval-t-n100/7/1086/2/375-97-2-2-7-[2].png,4
mimicry_result/cifar-10/eval-t-n100/4/699/7-bf/3023-16-101-7-3-[7].png,4
mimicry_result/cifar-10/eval-t-n100/7/555/5/360-95-39-5-7-[5].png,4
mimicry_result/cifar-10/eval-t-n100/7/301/5/312-97-8-5-6-[5].png,4
mimicry_result/cifar-10/eval-t-n100/8/232/0/311-95-1-0-6-[0].png,5
mimicry_result/cifar-10/eval-t-n100/8/606/3/505-96-26-3-6-[3].png,5
mimicry_result/cifar-10/eval-t-n100/8/897/1/640-96-11-1-7-[1].png,6
mimicry_result/cifar-10/eval-t-n100/5/324/3/197-96-3-3-7-[3].png,6
mimicry_result/cifar-10/eval-t-n100/8/905/0-bf/3871-0-101-0-3-[0].png,7
mimicry_result/cifar-10/eval-t-n100/5/378/3/399-97-2-3-7-[3].png,8
mimicry_result/cifar-10/eval-t-n100/7/626/4/461-96-6-4-7-[4].png,0
mimicry_result/cifar-10/eval-t-n100/4/821/2/248-96-8-2-6-[2].png,0
mimicry_result/cifar-10/eval-t-n100/8/200/9/293-95-28-9-5-[9].png,1
mimicry_result/cifar-10/eval-t-n100/8/979/1-bf/2373-3-101-1-3-[1].png,2
